id,name,description,price
1,T-Shirt WUAS,Haute Qualité,5000
2,Bracelet Type A,Bracelet personnalisable,5500
3,Bracelet Type B,Bracelet personnalisable,6500
4,Collier,Collier Type CO,11000
5,Collier Type CA,Collier en argent personnalisable,13000
6,Collier Type COH,Personnalisable,7500
7,Porte monnaie,Porte monnaie désigné en cuir et du pagne artistique,4000
8,Tapettes en pagne,Tapette en pagne avec un chouchou en laine bleu rouge en tête,5000
9,Accessoires complet,Bracelets-boucle d'oreilles barrette en papillon pour les cheveux,10000
10,Sacs saga,Sacs saga en pagne pour femmes,10000
11,Boucles d'oreilles papillon,boucles d'oreilles en papillon en pagne,2000
12,Tapettes en bandes,Tapettes en bandes en pagne,5000
13,Tapette,Tapette en pagne en forme de X,5000
14,Sacs angelina,Sacs angelina de couleurs noirs,7000
15,Sac de sortie,"Sacs de sortie pour jeunes
En pagne artistique de couleurs vert désigné en cuir
#Femmes responsables",15000
16,Pochette en pagne,"Pochette en pagne au motifs ""Fessou vor"" de couleurs orange",6000
17,Sac de hanche,Sac de hanche pour femmes en pagne fleurs de mariage,5000
18,Tablier de cuisine,Tablier de cuisine en de motifs de pagne désigné avec du tissu en coton,3500
19,Accessoires complet,Trois bracelet; une boucle d'oreilles,5000
20,Sac de voyage,Sacs de voyage en pagne,15000
21,Barrette de cheveux,Barrette de cheveux pour femmes et pour petites filles en pagne avec des couleurs attrayantes,3000
22,Chaussures de chambre,Confectionnée en pagne,5000
23,Montre,Montre désigné en pagne,5000
24,Tenue avec gilet,en pagne aux motifs ghanéen,15000
25,Sac de sortie,Sac de sortie pour femmes en pagne africain au motif kenté avec des poignées en perles,6000
26,Article complet,Porte monnaie; collier; boucles d'oreilles; bracelets et montre en pagne africain jaune attrayante,15000
27,Porte monnaie,Porte monnaie en pagne violet avec des motifs de feuilles jaunes,5000
28,Pochette en pagne artistique,En bleu jaune et blanc,5000
29,Sac de sortie,Fait en pagne artistique de couleur rouge,15000
30,Savon extract,Savon éclaircissant,5000
